2024-10-19 18:46:10 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-10-19 18:46:10 0 [Note] InnoDB: Uses event mutexes
2024-10-19 18:46:10 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2024-10-19 18:46:10 0 [Note] InnoDB: Number of pools: 1
2024-10-19 18:46:10 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 30505109
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 30505070
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=407] with future log sequence number 30505070
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=57] with future log sequence number 30505031
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=347] with future log sequence number 30505031
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=56] with future log sequence number 30504992
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=345] with future log sequence number 30504992
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=55] with future log sequence number 30504937
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=329] with future log sequence number 30504937
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=54] with future log sequence number 30504898
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=413] with future log sequence number 30504898
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=264] with future log sequence number 30594711
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 30620902
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=66, page number=3] with future log sequence number 30620922
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=404] with future log sequence number 30620902
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 30620422
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=442] with future log sequence number 30620422
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 30616812
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=340] with future log sequence number 30616812
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 30616390
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=5] with future log sequence number 30616314
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=4] with future log sequence number 30616288
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=3] with future log sequence number 30616230
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=10] with future log sequence number 30616410
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=443] with future log sequence number 30616390
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=281] with future log sequence number 30615569
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 30615569
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=280] with future log sequence number 30608159
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=432] with future log sequence number 30608159
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 361270
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=442] with future log sequence number 361270
2024-10-19 18:46:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 361226
