2024-10-10 19:01:12 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-10-10 19:01:12 0 [Note] InnoDB: Uses event mutexes
2024-10-10 19:01:12 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2024-10-10 19:01:12 0 [Note] InnoDB: Number of pools: 1
2024-10-10 19:01:12 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-10-10 19:01:12 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2024-10-10 19:01:12 0 [Note] InnoDB: Completed initialization of buffer pool
2024-10-10 19:01:12 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=48] with future log sequence number 29789473
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 29789473
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=47] with future log sequence number 29789434
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 29789434
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=46] with future log sequence number 29789395
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 29789395
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=45] with future log sequence number 29789356
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=403] with future log sequence number 29789356
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=6] with future log sequence number 29789317
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 29789317
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=300] with future log sequence number 29790483
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 29790483
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=299] with future log sequence number 29790439
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=400] with future log sequence number 29790439
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 29790395
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=370] with future log sequence number 29790395
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 29790351
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=429] with future log sequence number 29790351
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 29790307
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=399] with future log sequence number 29790307
2024-10-10 19:01:12 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 29790263
